id,language score
1,74
2,67
3,34
4,33
5,75
6,51
7,95
8,92
9,56
10,60
11,76
12,41
13,72
14,99
15,95
16,65
17,82
18,36
19,37
20,100
21,77
22,98
23,57
24,55
25,43
26,73
27,46
28,33
29,31
30,73
31,43
32,90
33,74
34,31
35,94
36,55
37,48
38,46
39,79
40,96
41,48
42,91
43,47
44,88
45,84
46,87
47,75
48,94
49,41
50,71
51,64
52,51
53,54
54,60
55,100
56,99
57,41
58,56
59,73
60,94
61,41
62,63
63,35
64,42
65,34
66,36
67,49
68,43
69,69
70,60
71,94
72,30
73,76
74,69
75,38
76,35
77,48
78,96
79,91
80,60
81,75
82,95
83,67
84,35
85,86
86,57
87,66
88,68
89,32
90,77
91,65
92,84
93,67
94,65
95,99
96,67
97,87
98,66
99,94
100,75
