id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
1,female,group B,bachelor's degree,standard,none,72,72,74
2,female,group C,some college,standard,completed,69,90,88
3,female,group B,master's degree,standard,none,90,95,93
4,male,group A,associate's degree,free/reduced,none,47,57,44
5,male,group C,some college,standard,none,76,78,75
6,female,group B,associate's degree,standard,none,71,83,78
7,female,group B,some college,standard,completed,88,95,92
8,male,group B,some college,free/reduced,none,40,43,39
9,male,group D,high school,free/reduced,completed,64,64,67
10,female,group B,high school,free/reduced,none,38,60,50
11,male,group C,associate's degree,standard,none,58,54,52
12,male,group D,associate's degree,standard,none,40,52,43
13,female,group B,high school,standard,none,65,81,73
14,male,group A,some college,standard,completed,78,72,70
15,female,group A,master's degree,standard,none,50,53,58
16,female,group C,some high school,standard,none,69,75,78
17,male,group C,high school,standard,none,88,89,86
18,female,group B,some high school,free/reduced,none,18,32,28
19,male,group C,master's degree,free/reduced,completed,46,42,46
20,female,group C,associate's degree,free/reduced,none,54,58,61
21,male,group D,high school,standard,none,66,69,63
22,female,group B,some college,free/reduced,completed,65,75,70
23,male,group D,some college,standard,none,44,54,53
24,female,group C,some high school,standard,none,69,73,73
25,male,group D,bachelor's degree,free/reduced,completed,74,71,80
26,male,group A,master's degree,free/reduced,none,73,74,72
27,male,group B,some college,standard,none,69,54,55
28,female,group C,bachelor's degree,standard,none,67,69,75
29,male,group C,high school,standard,none,70,70,65
30,female,group D,master's degree,standard,none,62,70,75
31,female,group D,some college,standard,none,69,74,74
32,female,group B,some college,standard,none,63,65,61
33,female,group E,master's degree,free/reduced,none,56,72,65
34,male,group D,some college,standard,none,40,42,38
35,male,group E,some college,standard,none,97,87,82
36,male,group E,associate's degree,standard,completed,81,81,79
37,female,group D,associate's degree,standard,none,74,81,83
38,female,group D,some high school,free/reduced,none,50,64,59
39,female,group D,associate's degree,free/reduced,completed,75,90,88
40,male,group B,associate's degree,free/reduced,none,57,56,57
41,male,group C,associate's degree,free/reduced,none,55,61,54
42,female,group C,associate's degree,standard,none,58,73,68
43,female,group B,associate's degree,standard,none,53,58,65
44,male,group B,some college,free/reduced,completed,59,65,66
45,female,group E,associate's degree,free/reduced,none,50,56,54
46,male,group B,associate's degree,standard,none,65,54,57
47,female,group A,associate's degree,standard,completed,55,65,62
48,female,group C,high school,standard,none,66,71,76
49,female,group D,associate's degree,free/reduced,completed,57,74,76
50,male,group C,high school,standard,completed,82,84,82
51,male,group E,some college,standard,none,53,55,48
52,male,group E,associate's degree,free/reduced,completed,77,69,68
53,male,group C,some college,standard,none,53,44,42
54,male,group D,high school,standard,none,88,78,75
55,female,group C,some high school,free/reduced,completed,71,84,87
56,female,group C,high school,free/reduced,none,33,41,43
57,female,group E,associate's degree,standard,completed,82,85,86
58,male,group D,associate's degree,standard,none,52,55,49
59,male,group D,some college,standard,completed,58,59,58
60,female,group C,some high school,free/reduced,none,0,17,10
61,male,group E,bachelor's degree,free/reduced,completed,79,74,72
62,male,group A,some high school,free/reduced,none,39,39,34
63,male,group A,associate's degree,free/reduced,none,62,61,55
64,female,group C,associate's degree,standard,none,69,80,71
65,female,group D,some high school,standard,none,59,58,59
66,male,group B,some high school,standard,none,67,64,61
67,male,group D,some high school,free/reduced,none,45,37,37
68,female,group C,some college,standard,none,60,72,74
69,male,group B,associate's degree,free/reduced,none,61,58,56
70,female,group C,associate's degree,standard,none,39,64,57
71,female,group D,some college,free/reduced,completed,58,63,73
72,male,group D,some college,standard,completed,63,55,63
73,female,group A,associate's degree,free/reduced,none,41,51,48
74,male,group C,some high school,free/reduced,none,61,57,56
75,male,group C,some high school,standard,none,49,49,41
76,male,group B,associate's degree,free/reduced,none,44,41,38
77,male,group E,some high school,standard,none,30,26,22
78,male,group A,bachelor's degree,standard,completed,80,78,81
79,female,group D,some high school,standard,completed,61,74,72
80,female,group E,master's degree,standard,none,62,68,68
81,female,group B,associate's degree,standard,none,47,49,50
82,male,group B,high school,free/reduced,none,49,45,45
83,male,group A,some college,free/reduced,completed,50,47,54
84,male,group E,associate's degree,standard,none,72,64,63
85,male,group D,high school,free/reduced,none,42,39,34
86,female,group C,some college,standard,none,73,80,82
87,female,group C,some college,free/reduced,none,76,83,88
88,female,group D,associate's degree,standard,none,71,71,74
89,female,group A,some college,standard,none,58,70,67
90,female,group D,some high school,standard,none,73,86,82
91,female,group C,bachelor's degree,standard,none,65,72,74
92,male,group C,high school,free/reduced,none,27,34,36
93,male,group C,high school,standard,none,71,79,71
94,male,group C,associate's degree,free/reduced,completed,43,45,50
95,female,group B,some college,standard,none,79,86,92
96,male,group C,associate's degree,free/reduced,completed,78,81,82
97,male,group B,some high school,standard,completed,65,66,62
98,female,group E,some college,standard,completed,63,72,70
99,female,group D,some college,free/reduced,none,58,67,62
100,female,group D,bachelor's degree,standard,none,65,67,62
101,male,group B,some college,standard,none,79,67,67
102,male,group D,bachelor's degree,standard,completed,68,74,74
103,female,group D,associate's degree,standard,none,85,91,89
104,male,group B,high school,standard,completed,60,44,47
105,male,group C,some college,standard,completed,98,86,90
106,female,group C,some college,standard,none,58,67,72
107,female,group D,master's degree,standard,none,87,100,100
108,male,group E,associate's degree,standard,completed,66,63,64
109,female,group B,associate's degree,free/reduced,none,52,76,70
110,female,group B,some high school,standard,none,70,64,72
111,female,group D,associate's degree,free/reduced,completed,77,89,98
112,male,group C,high school,standard,none,62,55,49
113,male,group A,associate's degree,standard,none,54,53,47
114,female,group D,some college,standard,none,51,58,54
115,female,group E,bachelor's degree,standard,completed,99,100,100
116,male,group C,high school,standard,none,84,77,74
117,female,group B,bachelor's degree,free/reduced,none,75,85,82
118,female,group D,bachelor's degree,standard,none,78,82,79
119,female,group D,some high school,standard,none,51,63,61
120,female,group C,some college,standard,none,55,69,65
121,female,group C,bachelor's degree,standard,completed,79,92,89
122,male,group B,associate's degree,standard,completed,91,89,92
123,female,group C,some college,standard,completed,88,93,93
124,male,group D,high school,free/reduced,none,63,57,56
125,male,group E,some college,standard,none,83,80,73
126,female,group B,high school,standard,none,87,95,86
127,male,group B,some high school,standard,none,72,68,67
128,male,group D,some college,standard,completed,65,77,74
129,male,group D,master's degree,standard,none,82,82,74
130,female,group A,bachelor's degree,standard,none,51,49,51
131,male,group D,master's degree,standard,none,89,84,82
132,male,group C,some high school,free/reduced,completed,53,37,40
133,male,group E,some college,free/reduced,completed,87,74,70
134,female,group C,some college,standard,completed,75,81,84
135,male,group D,bachelor's degree,free/reduced,completed,74,79,75
136,male,group C,bachelor's degree,standard,none,58,55,48
137,male,group B,some high school,standard,completed,51,54,41
138,male,group E,high school,standard,none,70,55,56
139,female,group C,associate's degree,standard,none,59,66,67
140,male,group D,some college,standard,completed,71,61,69
141,female,group D,some high school,standard,none,76,72,71
142,female,group C,some college,free/reduced,none,59,62,64
143,female,group E,some college,free/reduced,completed,42,55,54
144,male,group A,high school,standard,none,57,43,47
145,male,group D,some college,standard,none,88,73,78
146,female,group C,some college,free/reduced,none,22,39,33
147,male,group B,some high school,standard,none,88,84,75
148,male,group C,associate's degree,free/reduced,none,73,68,66
149,female,group D,bachelor's degree,standard,completed,68,75,81
150,male,group E,associate's degree,free/reduced,completed,100,100,93
151,male,group A,some high school,standard,completed,62,67,69
152,male,group A,bachelor's degree,standard,none,77,67,68
153,female,group B,associate's degree,standard,completed,59,70,66
154,male,group D,bachelor's degree,standard,none,54,49,47
155,male,group D,some high school,standard,none,62,67,61
156,female,group C,some college,standard,completed,70,89,88
157,female,group E,high school,free/reduced,completed,66,74,78
158,male,group B,some college,free/reduced,none,60,60,60
159,female,group B,associate's degree,standard,completed,61,86,87
160,male,group D,associate's degree,free/reduced,none,66,62,64
161,male,group B,associate's degree,free/reduced,completed,82,78,74
162,female,group E,some college,free/reduced,completed,75,88,85
163,male,group B,master's degree,free/reduced,none,49,53,52
164,male,group C,high school,standard,none,52,53,49
165,female,group E,master's degree,standard,none,81,92,91
166,female,group C,bachelor's degree,standard,completed,96,100,100
167,male,group C,high school,free/reduced,completed,53,51,51
168,female,group B,master's degree,free/reduced,completed,58,76,78
169,female,group B,high school,standard,completed,68,83,78
170,female,group C,some college,free/reduced,completed,67,75,70
171,male,group A,high school,standard,completed,72,73,74
172,male,group E,some high school,standard,none,94,88,78
173,female,group D,some college,standard,none,79,86,81
174,female,group C,associate's degree,standard,none,63,67,70
175,female,group C,bachelor's degree,free/reduced,completed,43,51,54
176,female,group C,master's degree,standard,completed,81,91,87
177,female,group B,high school,free/reduced,completed,46,54,58
178,female,group C,associate's degree,standard,completed,71,77,77
179,female,group B,master's degree,free/reduced,completed,52,70,62
180,female,group D,some high school,standard,completed,97,100,100
181,male,group C,master's degree,free/reduced,completed,62,68,75
182,female,group C,some college,free/reduced,none,46,64,66
183,female,group E,high school,standard,none,50,50,47
184,female,group D,associate's degree,standard,none,65,69,70
185,male,group C,some high school,free/reduced,completed,45,52,49
186,male,group C,associate's degree,free/reduced,completed,65,67,65
187,male,group E,high school,standard,none,80,76,65
188,male,group D,some high school,standard,completed,62,66,68
189,male,group B,some high school,free/reduced,none,48,52,45
190,female,group C,bachelor's degree,standard,none,77,88,87
191,female,group E,associate's degree,standard,none,66,65,69
192,male,group D,some college,standard,completed,76,83,79
193,female,group B,some high school,standard,none,62,64,66
194,male,group D,some college,standard,completed,77,62,62
195,female,group C,master's degree,standard,completed,69,84,85
196,male,group D,associate's degree,standard,none,61,55,52
197,male,group C,some high school,free/reduced,completed,59,69,65
198,male,group E,high school,free/reduced,none,55,56,51
199,female,group B,some college,free/reduced,none,45,53,55
200,female,group B,bachelor's degree,free/reduced,none,78,79,76
201,female,group C,associate's degree,standard,completed,67,84,86
202,female,group D,some college,free/reduced,none,65,81,77
203,male,group C,associate's degree,standard,none,69,77,69
204,female,group B,associate's degree,standard,none,57,69,68
205,male,group C,some college,standard,none,59,41,42
206,male,group D,some high school,standard,completed,74,71,78
207,male,group E,bachelor's degree,standard,none,82,62,62
208,male,group E,high school,standard,completed,81,80,76
209,female,group B,some college,free/reduced,none,74,81,76
210,female,group B,some college,free/reduced,none,58,61,66
211,male,group D,some high school,free/reduced,completed,80,79,79
212,male,group C,some college,free/reduced,none,35,28,27
213,female,group C,high school,free/reduced,none,42,62,60
214,male,group C,associate's degree,free/reduced,completed,60,51,56
215,male,group E,high school,standard,completed,87,91,81
216,male,group B,some high school,standard,completed,84,83,75
217,female,group E,associate's degree,free/reduced,completed,83,86,88
218,female,group C,high school,free/reduced,none,34,42,39
219,male,group B,high school,free/reduced,none,66,77,70
220,male,group B,some high school,standard,completed,61,56,56
221,female,group D,high school,standard,completed,56,68,74
222,male,group B,associate's degree,standard,none,87,85,73
223,female,group C,some high school,free/reduced,none,55,65,62
224,male,group D,some high school,standard,none,86,80,75
225,female,group B,associate's degree,standard,completed,52,66,73
226,female,group E,master's degree,free/reduced,none,45,56,54
227,female,group C,some college,standard,none,72,72,71
228,male,group D,high school,standard,none,57,50,54
229,male,group A,some high school,free/reduced,none,68,72,64
230,female,group C,some college,standard,completed,88,95,94
231,male,group D,some college,standard,none,76,64,66
232,male,group C,associate's degree,standard,none,46,43,42
233,female,group B,bachelor's degree,standard,none,67,86,83
234,male,group E,some high school,standard,none,92,87,78
235,male,group C,bachelor's degree,standard,completed,83,82,84
236,male,group D,associate's degree,standard,none,80,75,77
237,male,group D,bachelor's degree,free/reduced,none,63,66,67
238,female,group D,some high school,standard,completed,64,60,74
239,male,group B,some college,standard,none,54,52,51
240,male,group C,associate's degree,standard,none,84,80,80
241,male,group D,high school,free/reduced,completed,73,68,66
242,female,group E,bachelor's degree,standard,none,80,83,83
243,female,group D,high school,standard,none,56,52,55
244,male,group E,some college,standard,none,59,51,43
245,male,group D,some high school,standard,none,75,74,69
246,male,group C,associate's degree,standard,none,85,76,71
247,male,group E,associate's degree,standard,none,89,76,74
248,female,group B,high school,standard,completed,58,70,68
249,female,group B,high school,standard,none,65,64,62
250,male,group C,high school,standard,none,68,60,53
251,male,group A,some high school,standard,completed,47,49,49
252,female,group D,some college,free/reduced,none,71,83,83
253,female,group B,some high school,standard,completed,60,70,70
254,male,group D,master's degree,standard,none,80,80,72
255,male,group D,high school,standard,none,54,52,52
256,female,group E,some college,standard,none,62,73,70
257,female,group C,associate's degree,free/reduced,none,64,73,68
258,male,group C,associate's degree,standard,completed,78,77,77
259,female,group B,some college,standard,none,70,75,78
260,female,group C,master's degree,free/reduced,completed,65,81,81
261,female,group C,some high school,free/reduced,completed,64,79,77
262,male,group C,some college,standard,completed,79,79,78
263,female,group C,some high school,free/reduced,none,44,50,51
264,female,group E,high school,standard,none,99,93,90
265,male,group D,high school,standard,none,76,73,68
266,male,group D,some high school,free/reduced,none,59,42,41
267,female,group C,bachelor's degree,standard,none,63,75,81
268,female,group D,high school,standard,none,69,72,77
269,female,group D,associate's degree,standard,completed,88,92,95
270,female,group E,some college,free/reduced,none,71,76,70
271,male,group C,bachelor's degree,standard,none,69,63,61
272,male,group C,some college,standard,none,58,49,42
273,female,group D,associate's degree,free/reduced,none,47,53,58
274,female,group D,some college,standard,none,65,70,71
275,male,group B,some college,standard,completed,88,85,76
276,male,group C,bachelor's degree,standard,none,83,78,73
277,female,group C,some high school,standard,completed,85,92,93
278,female,group E,high school,standard,completed,59,63,75
279,female,group C,some high school,free/reduced,none,65,86,80
280,male,group B,bachelor's degree,free/reduced,none,73,56,57
281,male,group D,high school,standard,none,53,52,42
282,male,group D,high school,standard,none,45,48,46
283,female,group D,bachelor's degree,free/reduced,none,73,79,84
284,female,group D,some college,free/reduced,completed,70,78,78
285,female,group B,some high school,standard,none,37,46,46
286,male,group B,associate's degree,standard,completed,81,82,82
287,male,group E,associate's degree,standard,completed,97,82,88
288,female,group B,some high school,standard,none,67,89,82
289,male,group B,bachelor's degree,free/reduced,none,88,75,76
290,male,group E,some high school,standard,completed,77,76,77
291,male,group C,associate's degree,standard,none,76,70,68
292,male,group D,some high school,standard,none,86,73,70
293,male,group C,some high school,standard,completed,63,60,57
294,female,group E,bachelor's degree,standard,none,65,73,75
295,male,group D,high school,free/reduced,completed,78,77,80
296,male,group B,associate's degree,free/reduced,none,67,62,60
297,male,group A,some high school,standard,completed,46,41,43
298,male,group E,associate's degree,standard,completed,71,74,68
299,male,group C,high school,free/reduced,completed,40,46,50
300,male,group D,associate's degree,free/reduced,none,90,87,75
301,male,group A,some college,free/reduced,completed,81,78,81
302,male,group D,some high school,free/reduced,none,56,54,52
303,female,group C,associate's degree,standard,completed,67,84,81
304,male,group B,associate's degree,standard,none,80,76,64
305,female,group C,associate's degree,standard,completed,74,75,83
306,male,group A,some college,standard,none,69,67,69
307,male,group E,some college,standard,completed,99,87,81
308,male,group C,some high school,standard,none,51,52,44
309,female,group B,associate's degree,free/reduced,none,53,71,67
310,female,group D,high school,free/reduced,none,49,57,52
311,female,group B,associate's degree,standard,none,73,76,80
312,male,group B,bachelor's degree,standard,none,66,60,57
