titles,years,genres,imdb,runtime,description,stars,votes,type,original
Zumbo's Just Desserts,2016,Reality-TV,6.9,52 min,Amateur Australian chefs compete to impress patisserie chef Adriano Zumbo with their sweet creations. Those who don't fit the brief go head to head in the 'Zumbo test' to replicate his unique desserts.,"Gigi Falanga, Rachel Khoo, Adriano Zumbo","1,779",TV Show,Netflix
Zona Rosa,2019,Comedy,6,,Add a Plot,"Ray Contreras, Pablo Morán, Manu Nna, Ana Julia Yeye",33,TV Show,Netflix
Young Wallander,2020,"Crime, Drama, Mystery",6.7,,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,"Adam Pålsson, Leanne Best, Richard Dillane, Ellise Chappell","5,419",TV Show,Netflix
You vs. Wild,2019,"Adventure, Reality-TV",6.7,20 min,"In this interactive series, you'll make key decisions to help Bear Grylls survive, thrive and complete missions in the harshest environments on Earth.",Bear Grylls,"1,977",TV Show,Netflix
You,2018,"Crime, Drama, Romance",7.8,45 min,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail","134,932",TV Show,Netflix
YooHoo to the Rescue,2019,Family,6.9,,"In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.","Ryan Bartley, Kira Buckland, Lucien Dodge, Kyle Hebert",37,TV Show,Netflix
Yankee,2019,Drama,6,40 min,"On the run from the police, an Arizona man crosses into Mexico and gets deeply involved in drug trafficking, with the help of modern technology.","Pablo Lyle, Ana Layevska, Pamela Almanza, Sebastián Ferrat",458,TV Show,Netflix
Wu Assassins,2019,"Action, Crime, Drama",6.4,44 min,A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown.,"Iko Uwais, Byron Mann, Li Jun Li, Lawrence Kao","9,336",TV Show,Netflix
World's Most Wanted,2020,"Documentary, Crime",7.1,,Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles five of the world's most wanted.,"Jennifer Julian, Thomas Fuentes, Calogero Germaná, David Lorino","1,495",TV Show,Netflix
World of Winx,2016,"Animation, Action, Comedy",6.8,30 min,The Winx travel all over the world searching for talent for WOW. and preventing the mysterious talent thief from kidnapping them.,"Rebecca Soler, Alysha Deslorieux, Haven Paschall, Eileen Stevens",556,TV Show,Netflix
Word Party Songs,2020,"Animation, Family",3.6,,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove.",,7,TV Show,Netflix
Word Party,2016,"Animation, Family",6.2,11 min,Four adorable animal babies need your help to learn lots of skills - especially how to talk.,"Victor Yerrid, Dorien Davies, Misty Rosas, Donna Kimball",280,TV Show,Netflix
Wild District,2018,"Action, Crime, Drama",8.3,45 min,"Jhon Jeiver, a lethal guerrilla fighter who escapes from the jungle after the signing and referendum of the Colombian Peace Agreements, arrives in Bogotá escaping from his past, and tries to reinsert himself into society.","Cristina Umaña, Juan Pablo Raba, Nicolás Quiroga Pineda, Paula Castaño","1,549",TV Show,Netflix
White Rabbit Project,2016,Reality-TV,6.9,48 min,"Scientists investigate unusual events from pop culture, science and history.","Tory Belleci, Kari Byron, Grant Imahara, Benjamin Cavanagh","1,501",TV Show,Netflix
White Lines,2020,"Crime, Drama, Mystery",6.6,60 min,"A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.","Laura Haddock, Nuno Lopes, Marta Milans, Daniel Mays","13,042",TV Show,Netflix
What/If,2019,"Drama, Thriller",6.3,55 min,"An anthology series which tackles a different morality tale, and the ripple effect of a single decision that changes the trajectory of an entire life.","Jane Levy, Blake Jenner, Keith Powers, Samantha Marie Ware","12,314",TV Show,Netflix
What the Love! with Karan Johar,2020,Talk-Show,4.3,,"""Millenials"" looking for love join the show in hopes of being guided into new relationship opportunities by host Karan Johar.","Sahil Brown, Karan Johar",199,TV Show,Netflix
Wet Hot American Summer: Ten Years Later,2017,Comedy,6.9,30 min,The campers and counselors of Camp Firewood meet ten years after their last day at camp.,"Nina Hellman, Marguerite Moreau, Zak Orth, Michael Showalter","7,049",TV Show,Netflix
Wet Hot American Summer: First Day of Camp,2015,Comedy,7.4,30 min,Follows the counselors and campers on their first day at Camp Firewood in the summer of 1981.,"Marguerite Moreau, Zak Orth, Paul Rudd, Michael Showalter","22,006",TV Show,Netflix
Westside,2018,Musical,6,50 min,An unscripted and deeply personal glimpse into the journeys of nine young L.A.-based musicians as they follow their dreams.,"Alexandra Kay, Taz Zavala, Caitlin Ary, James Byous",143,TV Show,Netflix
We're Lalaloopsy,2017,Animation,5.5,,All I have to say is that We're Lalaloopsy is one of best series on Netflix I have ever watched.,"Sam Vincent, Arielle Tuliao, Mariee Devereux, Maryke Hendrikse",20,TV Show,Netflix
We Are the Wave,2019,Drama,6.2,50 min,A new version of Rhue's novel in which a group of teenagers who start a youth movement which develops a dangerous momentum.,"Ludwig Simon, Luise Befort, Michelle Barthel, Mohamed Issa","2,054",TV Show,Netflix
Warrior Nun,2020,"Action, Drama, Fantasy",6.9,,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.","Alba Baptista, Toya Turner, Kristina Tonteri-Young, Lorena Andrea","18,743",TV Show,Netflix
Wanderlust,2018,Drama,7,60 min,A therapist tries to save her marriage after a cycling accident causes them to reassess their relationship.,"Toni Collette, Steven Mackintosh, Joe Hurst, Emma D'Arcy","4,308",TV Show,Netflix
W/Bob and David,2015,Comedy,7.4,30 min,Bob and David emerge from the time machine they entered sixteen years ago and are reunited with the cast of Mr. Show.,"David Cross, Bob Odenkirk, John Ennis, Jay Johnston","3,673",TV Show,Netflix
Voltron: Legendary Defender,2016,"Animation, Action, Adventure",8.1,23 min,Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.,"Jeremy Shada, Bex Taylor-Klaus, Tyler Labine, Kimberly Brooks","7,465",TV Show,Netflix
Virgin River,2019,"Drama, Romance",7.5,44 min,"After seeing an ad for a midwife, a recently widowed big-city nurse moves to the redwood forests of northern California, where she meets an intriguing man.","Colin Lawrence, Benjamin Hollingsworth, Grayson Maxwell Gurnsey, Martin Henderson","11,432",TV Show,Netflix
VeggieTales in the House,2014,"Animation, Short, Adventure",4.5,,"Get ready to love your veggies! The beloved faith-based brand has a fresh new look as Bob the Tomato, Larry the Cucumber and all their Veggie friends venture off the countertop for the ... See full summary »","Phil Vischer, Mike Nawrocki, Tress MacNeille, Rob Paulsen",249,TV Show,Netflix
VeggieTales in the City,2017,"Animation, Short, Adventure",6.2,,"Larry, Bob and all their Veggie friends share their city adventures.","Mike Nawrocki, Rob Paulsen, Phil Vischer, Tress MacNeille",82,TV Show,Netflix
Vampires,2020,"Drama, Fantasy, Horror",5.5,,"A Parisian teenager who is half human, half vampire grapples with her emerging powers, and family turmoil as she is pursued by a secret vampire community.","Kate Moran, Mounir Amamra, Juliette Cardinski, Pierre Lottin",886,TV Show,Netflix
Valeria,2020,"Comedy, Drama, Romance",6.1,,"Valeria is a writer who's hit a dead end with both her writing and her husband. She finds solace in her three friends Carmen, Lola and Nerea.","Diana Gómez, Silma López, Paula Malia, Teresa Riott","2,377",TV Show,Netflix
Vai Anitta,2018,"Documentary, Reality-TV",5.3,30 min,Go behind the scenes with Brazilian superstar Anitta as the singer reveals how she's consolidating her international career.,"Anitta, Paulo Pimenta, Sam Shahidi, Arielle Macedo",369,TV Show,Netflix
V-Wars,2019,"Drama, Horror, Sci-Fi",6.1,60 min,Dr. Luther Swann enters a world of horror when a virus is released from ice melting due to climate change.,"Ian Somerhalder, Adrian Holmes, Jacky Lai, Kyle Breitkopf","11,469",TV Show,Netflix
Until Dawn,2020,"Comedy, Reality-TV",3.4,22 min,Three comedians are sent to a haunted location and asked to investigate. The one who is deemed the biggest 'chicken' gets a punishment. Subtitled.,"Ornella Fleury, Alban Ivanov, Ahmed Sylla, Bérengère Krief",97,TV Show,Netflix
Unstoppable,2020,"Comedy, Drama",7.3,43 min,Four girlfriends on a weekend road trip end up on a journey of self-discovery.,"Tessa Ia, Bárbara López, Lucía Uribe, Coty Camacho",626,TV Show,Netflix
Unsolved Mysteries,2020,"Documentary, Crime, Mystery",7.4,45 min,"Immersive, character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.","Pistol Black, Jane Green, Anne-Sophie Martin, Brandi Petersen","6,474",TV Show,Netflix
Unnatural Selection,2019,Documentary,8,66 min,"DNA, the very essence of life, can now be altered. Not only by Harvard geneticists and multi-billion dollar corporations, but also by renegade biohackers working out of their garages.","David Ishee, Jeffrey Kahn, Jackson Kennedy, Kevin Esvelt","1,266",TV Show,Netflix
Undercover,2019,"Crime, Drama, Thriller",7.9,50 min,"Inspired by real events, undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends.","Tom Waes, Frank Lammers, Manou Kersting, Anna Drijver","8,579",TV Show,Netflix
Unbreakable Kimmy Schmidt,2015,Comedy,7.6,30 min,A woman is rescued from a doomsday cult and starts life over again in New York City.,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane","62,194",TV Show,Netflix
Ultraman,2019,"Animation, Action, Sci-Fi",6.9,25 min,"Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil.","D.C. Douglas, Josh Hutcherson, Cristina Valenzuela, Tara Sands","1,498",TV Show,Netflix
Ultimate Beastmaster,2017,"Game-Show, Reality-TV",7.3,55 min,"Eighteen competitors from six countries compete against each other in an intense obstacle course for cash prizes, individual glory and national pride.","Tiki Barber, Rafinha Bastos, Luis Ernesto Franco, Inés Sainz","2,041",TV Show,Netflix
Ugly Delicious,2018,Documentary,7.8,50 min,Chef David Chang travels around the world tasting food from different cultures.,"David Chang, Peter Meehan, Aziz Ansari, Rene Redzepi","2,983",TV Show,Netflix
Typewriter,2019,"Horror, Thriller",6.5,48 min,"Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home's buried past resurfaces in chilling ways.","Aarnaa Sharma, Palomi Ghosh, Mikhail Gandhi, Palash Kamble","3,271",TV Show,Netflix
Twogether,2020,Reality-TV,8.6,,"Paired together for an unforgettable trip across Asia, stars Lee Seung Gi and Jasper Liu become buddies as they connect with fans and local cultures.","Seung-gi Lee, Jasper Liu",209,TV Show,Netflix
Twelve Forever,2019,"Animation, Action, Adventure",6.6,,Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth.,"Kelsy Abbott, Jaylen Barron, Antony Del Rio, Spencer Rothbell",445,TV Show,Netflix
Turn Up Charlie,2019,Comedy,7.1,30 min,"Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a nanny to his famous best friend's problem-child daughter.","Idris Elba, Piper Perabo, Frankie Hervey, Shaheen Ramdiane","6,273",TV Show,Netflix
Turbo FAST,2013,"Animation, Action, Comedy",6.6,23 min,Indy 500 champion Turbo and his friends race other species and battle enemies in the snail populated world of Starlight City.,"Reid Scott, Eric Bauza, Mike Bell, John Eric Bentley",436,TV Show,Netflix
Tuca & Bertie,2019,"Animation, Comedy",7.4,26 min,The story of two 30-year old bird women who live in the same apartment building.,"Tiffany Haddish, Ali Wong, Steven Yeun, Nicole Byer","4,678",TV Show,Netflix
True: Terrific Tales,2020,"Animation, Family",5,,"Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales.","Michela Luci, Anna Claire Bartlam, Eric Peterson, Jamie Watson",9,TV Show,Netflix
True and the Rainbow Kingdom,2017,"Animation, Short, Adventure",7.1,22 min,Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,"Michela Luci, Jamie Watson, Eric Peterson, Dante Zee",360,TV Show,Netflix
True Tunes,2019,Family,8.7,,Add a Plot,,10,TV Show,Netflix
Troy: Fall of a City,2018,"Action, Adventure, Fantasy",3.8,60 min,"Retells the story of the 10 year siege of Troy, which occurred in the 12 or 13th century BC.","Louis Hunter, Christiaan Schoombie, Bella Dayne, Chloe Pirrie","11,814",TV Show,Netflix
